user_id,date,time,food,drink,calories
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
0,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
2,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
2,12/11/22,0:0:00,Boiled Egg (100g),Ice Tea,190
